# 形码码表：词	编码	词频。词频由青简词库按词面回填（不是码表自带的权重），出处见 assets/wubi/README.md
萨姆	abvx	847
蔭	abwc	1
欧阳修	abwh	72
节假	abwn	1
节余	abwt	5
蒢	abwt	1
节俭	abww	395
节食	abwy	1763
节约	abxq	1513
节育	abyc	23
巧取豪夺	abyd	14
节哀	abye	2033
荫庇	abyx	8
茅	ac	2369
芭	ac	1258
茎	aca	1361
茎	acaf	1361
芭蕾	acaf	637
鞍马劳顿	acag	14
茅草	acaj	104
戒骄戒躁	acak	48
匥	acak	1
苔藓	acaq	152
芭蕉	acaw	321
芭	acb	1258
芧	acbj	1
蓩	acbl	1
蓣	acbm	42
蕷	acbm	1
鶜	acbo	1
葇	acbs	1
茅	acbt	2369
蔘	acce	1
茅台	acck	556
斯巴达克	acdd	1
茅厕	acdm	1
斯巴达	acdp	1
蓪	acep	1
茎干	acfg	1
茅坑	acfy	101
戎马一生	acgt	1
茅台酒	acis	1
苔	ack	605
苔	ackf	605
葈	acks	1
雅马哈	ackw	1
茅屋	acng	86
勤能补拙	acpr	38
茅盾	acrf	105
茅棚	acse	4
茎杆	acsf	1
茅舍	acwf	20
荾	acwt	1
戎马倥偬	acww	6
莫桑比克	acxd	1
茅房	acyn	44
芆	acyu	1
茅庐	acyy	9
基	ad	39713
莽	ada	689
藏匿	adaa	392
雅克萨	adab	1
苦苦	adad	862
葳蕤	adae	8
若有若无	adaf	30
藏龙卧虎	adah	16
菲薄	adai	9
莽	adaj	689
甚或	adak	105
苦功	adal	8
欺世	adan	1
欺蒙	adap	1
茏葱	adaq	1
蔵	adat	1
蕻	adaw	10
苦药	adax	1
葫芦	aday	2577
苊	adb	7
苊	adbb	7
基隆	adbt	1508
期限	adbv	1083
茇	adc	1
苦参	adcd	16
若能	adce	1
苦劝	adcl	1
戎马	adcn	40
苃	adcu	1
茇	adcu	1
苦难	adcw	1023
欺骗	adcy	3651
弎	add	1
基础	addb	14153
藞	addd	1
若有	adde	1
欺压	addf	157
基石	addg	279
若非	addj	134
甚而	addm	28
茂盛	addn	285
莽原	addr	15
蒙太奇	adds	72
匪帮	addt	36
戎	ade	1388
基肥	adec	21
葫	adef	36
苦胆	adej	12
甚受	adep	1
藏胞	adeq	17
萇	adeu	1
苦	adf	16506
劳而无功	adfa	3
莾	adfa	1
基地	adfb	10835
若需	adfd	1
莀	adfe	1
蓐	adff	10
英雄无用武之地	adff	3
若干	adfg	2211
基址	adfh	1
